dataid,prediction
1, 1993.9050468569367 
2, 2003.0807869842986 
3, 1999.6366775705671 
4, 2003.9299931652934 
5, 2002.2344740489827 
6, 1998.748508604307 
7, 2001.0906936366232 
8, 2000.2229095363762 
9, 1999.6004801867828 
10, 2002.5267071524624 
11, 2004.923509282859 
12, 2003.7152833818773 
13, 2002.2412328740434 
14, 2004.4522124358691 
15, 2004.7261656227763 
16, 2001.388965555715 
17, 2001.8259998611863 
18, 1999.7026097794446 
19, 2001.9295241065035 
20, 2003.3673418605779 
21, 2003.0591772175928 
22, 2003.2391961470419 
23, 2000.8643488023506 
24, 2004.9338384203536 
25, 2001.5206925164587 
26, 1997.4025661776736 
27, 2003.1852018903655 
28, 2004.5361176663137 
29, 1994.981487456581 
30, 2000.0472440328926 
31, 2002.0188006899848 
32, 1997.2653764800239 
33, 1999.3761575478643 
34, 1996.8493411340517 
35, 1999.8357651903423 
36, 1996.712387022918 
37, 1998.0232740467543 
38, 1998.8312812805552 
39, 2004.1778826729885 
40, 1999.5047790478754 
41, 2008.9959189422007 
42, 2007.304457702716 
43, 2005.6854361591968 
44, 1999.8715243661834 
45, 2010.9624558032947 
46, 2008.619323890634 
47, 2010.3497467612651 
48, 2002.6173091859273 
49, 2004.458279320852 
50, 2009.1528563579686 
51, 2004.8199840272928 
52, 2009.76348932876 
53, 2003.0457015667212 
54, 2005.8538491378301 
55, 2006.6498405806408 
56, 2009.9827930531492 
57, 2007.207227992763 
58, 2007.3353231389647 
59, 2006.4913661911696 
60, 2006.583972571112 
61, 2007.0027443307226 
62, 2006.995119254 
63, 2006.6785653609363 
64, 2005.0800026866048 
65, 2001.054089570178 
66, 2006.6076432864404 
67, 2006.0469016819966 
68, 2005.8612254320813 
69, 2011.5606631444587 
70, 2005.7787621350965 
71, 1990.295697162195 
72, 1978.8074750477801 
73, 1994.570193968375 
74, 1991.6385179546269 
75, 1991.3731221785986 
76, 1997.572126321892 
77, 1992.462933017394 
78, 2001.6494952458029 
79, 2001.3873273079003 
80, 1997.2204401419688 
81, 2002.0717001431576 
82, 1998.8566884754664 
83, 1998.6279266362235 
84, 2000.5168523230313 
85, 1998.2027432820125 
86, 1998.7083468622993 
87, 1997.1159495493241 
88, 1975.0061771775229 
89, 2001.298409192472 
90, 1999.7902496910956 
91, 1991.3996160293598 
92, 1988.2556773339033 
93, 1998.0496934535927 
94, 1989.5067069623412 
95, 1988.4925445647625 
96, 1992.135898751032 
97, 1992.0712156604793 
98, 1992.282312411673 
99, 1992.2512234897963 
100, 1997.8724753938366 
101, 1995.5124749423026 
102, 1997.5469082505288 
103, 2000.937531796396 
104, 1995.3399681710107 
105, 2000.1979201497722 
106, 2002.7918959955787 
107, 1995.2965645284637 
108, 1995.7864167953937 
109, 1994.2146303241009 
110, 1994.697694495745 
111, 1999.3222531322253 
112, 1998.5742478924321 
113, 1996.6565878522254 
114, 1997.166768762877 
115, 1995.191159014981 
116, 1993.1464429306711 
117, 1995.7831993127327 
118, 1999.5276325300586 
119, 1993.6895372969445 
120, 1996.3791479909196 
121, 1999.3999220341143 
122, 1997.614670414493 
123, 1985.9720928494496 
124, 1984.288388987399 
125, 1988.6037977859648 
126, 1983.1703582323248 
127, 1990.587104215939 
128, 1996.7750854065807 
129, 1986.4227094786472 
130, 2000.7376918613943 
131, 2001.9290479538085 
132, 2000.10448567769 
133, 2002.6712953444314 
134, 2000.8134537862563 
135, 2000.4618330175504 
136, 2002.205180183182 
137, 2000.5214196065613 
138, 1998.889368103148 
139, 2001.3864575068774 
140, 2001.6963185132154 
141, 1999.123289010192 
142, 1998.4299164826705 
143, 2000.237589952515 
144, 2000.2996344223582 
145, 2000.653390616293 
146, 1997.887331545719 
147, 1998.985311926248 
148, 1996.438640664195 
149, 1996.0411005102305 
150, 2000.3426542252696 
151, 2001.0120682851323 
152, 2002.1664601196721 
153, 1998.2310666234496 
154, 2000.7062905374605 
155, 1998.702996022635 
156, 1999.3970048636409 
157, 1997.8903427194807 
158, 1998.6668856895928 
159, 1998.9158265462156 
160, 2000.2807918576598 
161, 2001.2278492430041 
162, 1999.674836464887 
163, 1997.4466948306242 
164, 1996.6300954798771 
165, 1999.581149217143 
166, 2001.465342854417 
167, 2002.6524083743798 
168, 1997.9763087153278 
169, 2002.57588697147 
170, 1997.8318085165708 
171, 1999.7772647696418 
172, 2003.549160815948 
173, 2001.340630126983 
174, 1999.1975714195976 
175, 1999.806487659085 
176, 2000.1875111289733 
177, 2002.5360881592846 
178, 2000.7485677620514 
179, 2003.0385838364248 
180, 2001.3528902540413 
181, 2002.9136065597725 
182, 2002.2574443506237 
183, 2001.1035406214496 
184, 2001.114234086421 
185, 2000.689977280269 
186, 1999.7893196160503 
187, 1998.961575757636 
188, 1998.6675554287685 
189, 2000.9515410415404 
190, 2002.6271853184223 
191, 1999.131450126207 
192, 1995.6963630736357 
193, 2000.9058891798402 
194, 1998.6285078105482 
195, 1997.4280957762405 
196, 1995.3496817821242 
197, 1998.4578144864508 
198, 1993.3637288227753 
199, 1998.5037096682443 
200, 1998.7641661176385 
201, 2007.6151074279758 
202, 2002.3516893069757 
203, 2001.7046574066587 
204, 2002.3303451832808 
205, 2002.6516720637253 
206, 2003.0527534781108 
207, 2003.0354513353973 
208, 2001.721694413214 
209, 2002.40398647968 
210, 2005.3727216037566 
211, 2002.2490723273393 
212, 2003.7040125397373 
213, 2003.1261543883377 
214, 2001.842821629221 
215, 2002.9638087286705 
216, 2003.6720541667264 
217, 2002.6925693444828 
218, 2001.7863867997225 
219, 2005.3280094388551 
220, 2005.7102110539197 
221, 2003.698580410138 
222, 2000.7932513982032 
223, 2004.8217456130076 
224, 2002.8039773227483 
225, 2002.9209699690066 
226, 2002.7036033470313 
227, 2002.0504250929093 
228, 2001.6525972312058 
229, 2004.855242559789 
230, 2003.251488119516 
231, 2002.3264343769376 
232, 2001.535791057224 
233, 2001.58393678516 
234, 2000.2898630396512 
235, 1999.831303039223 
236, 2000.8804204396793 
237, 2000.2757909893878 
238, 1999.8005699737364 
239, 1999.1317783639752 
240, 2000.732741445127 
241, 2000.6639030893612 
242, 2000.0961800417351 
243, 2001.7454328794477 
244, 2003.9952052039962 
245, 2004.8145805484662 
246, 2004.3206435636243 
247, 2003.711201382038 
248, 2006.260351291214 
249, 2004.8206410840255 
250, 2005.7142182758098 
251, 2004.6468670955178 
252, 2004.2996019968998 
253, 2003.3527017350136 
254, 2003.072856549965 
255, 1998.8351728541652 
256, 2000.7003614834891 
257, 2003.4731933049247 
258, 2003.3394603556692 
259, 2000.4711951940897 
260, 2000.7438385187465 
261, 1993.228628181152 
262, 2000.4203579236134 
263, 1996.384542181526 
264, 2000.5465484897709 
265, 1999.139096882485 
